-------------------------------------
normal

n = 10    ;x           ;med(x)      ;Zr          ;Zq          ;Ztr         ;
E(z) =    ;0.013888    ;0.010605    ;-0.020701   ;-0.002782   ;-0.006498   ;
D(z) =    ;0.098503    ;0.136179    ;0.174587    ;0.116881    ;0.111603    ;

n = 100   ;x           ;med(x)      ;Zr          ;Zq          ;Ztr         ;
E(z) =    ;-0.001156   ;-0.007272   ;-0.006912   ;0.002605    ;-0.000010   ;
D(z) =    ;0.010148    ;0.015327    ;0.089461    ;0.012082    ;0.012343    ;

n = 1000  ;x           ;med(x)      ;Zr          ;Zq          ;Ztr         ;
E(z) =    ;0.000274    ;-0.001481   ;-0.000034   ;0.000560    ;-0.000008   ;
D(z) =    ;0.001022    ;0.001569    ;0.057621    ;0.001215    ;0.001168    ;
-------------------------------------
cauchy

n = 10    ;x           ;med(x)      ;Zr          ;Zq          ;Ztr         ;
E(z) =    ;-0.634408   ;0.015725    ;5.224196    ;-0.022924   ;0.037296    ;
D(z) =    ;185.247136  ;0.350588    ;20425.538349;0.874125    ;0.504995    ;

n = 100   ;x           ;med(x)      ;Zr          ;Zq          ;Ztr         ;
E(z) =    ;-2.059217   ;-0.008455   ;231.233186  ;0.006935    ;0.003270    ;
D(z) =    ;5414.833221 ;0.025210    ;47637598.728870;0.052040    ;0.027434    ;

n = 1000  ;x           ;med(x)      ;Zr          ;Zq          ;Ztr         ;
E(z) =    ;2.499912    ;0.000200    ;45529.172877;0.001664    ;0.004010    ;
D(z) =    ;2051.598552 ;0.002291    ;2041475232298.041504;0.004818    ;0.002655    ;
-------------------------------------
laplace

n = 10    ;x           ;med(x)      ;Zr          ;Zq          ;Ztr         ;
E(z) =    ;0.009627    ;-0.005788   ;0.026317    ;-0.010566   ;0.002694    ;
D(z) =    ;0.092807    ;0.070832    ;0.358380    ;0.095570    ;0.074264    ;

n = 100   ;x           ;med(x)      ;Zr          ;Zq          ;Ztr         ;
E(z) =    ;-0.008672   ;0.001263    ;0.033828    ;0.003942    ;-0.003528   ;
D(z) =    ;0.009889    ;0.005856    ;0.411718    ;0.009277    ;0.006066    ;

n = 1000  ;x           ;med(x)      ;Zr          ;Zq          ;Ztr         ;
E(z) =    ;-0.000612   ;-0.000885   ;-0.006003   ;-0.000883   ;0.001644    ;
D(z) =    ;0.001013    ;0.000535    ;0.378527    ;0.001035    ;0.000644    ;
-------------------------------------
uniform

n = 10    ;x           ;med(x)      ;Zr          ;Zq          ;Ztr         ;
E(z) =    ;0.007818    ;0.014608    ;0.004870    ;0.014966    ;0.009956    ;
D(z) =    ;0.097249    ;0.232129    ;0.042485    ;0.137925    ;0.153699    ;

n = 100   ;x           ;med(x)      ;Zr          ;Zq          ;Ztr         ;
E(z) =    ;-0.002757   ;0.003642    ;-0.000649   ;0.004426    ;0.005121    ;
D(z) =    ;0.010150    ;0.029116    ;0.000570    ;0.015840    ;0.018809    ;

n = 1000  ;x           ;med(x)      ;Zr          ;Zq          ;Ztr         ;
E(z) =    ;-0.000497   ;-0.000493   ;0.000085    ;-0.000557   ;0.000926    ;
D(z) =    ;0.001088    ;0.002807    ;0.000006    ;0.001503    ;0.002047    ;
-------------------------------------
poisson

n = 10    ;x           ;med(x)      ;Zr          ;Zq          ;Ztr         ;
E(z) =    ;1.994100    ;1.843000    ;2.315000    ;1.916375    ;1.879500    ;
D(z) =    ;0.208215    ;0.311351    ;0.371275    ;0.237522    ;0.224563    ;

n = 100   ;x           ;med(x)      ;Zr          ;Zq          ;Ztr         ;
E(z) =    ;2.003930    ;1.968500    ;3.159500    ;1.973750    ;1.837300    ;
D(z) =    ;0.019831    ;0.027758    ;0.248810    ;0.013030    ;0.026522    ;

n = 1000  ;x           ;med(x)      ;Zr          ;Zq          ;Ztr         ;
E(z) =    ;1.999185    ;2.000000    ;3.973000    ;2.000000    ;1.833006    ;
D(z) =    ;0.001973    ;0.000000    ;0.196271    ;0.000000    ;0.003011    ;
